Sign,Nakshatra,From_DMS,To_DMS,RasiLord,NakshatraLord,SubLord
Aries,Ashvini,00:00:00,00:46:40,Mars,Ketu,Ketu
Aries,Ashvini,00:46:40,03:00:00,Mars,Ketu,Venus
Aries,Ashvini,03:00:00,03:40:00,Mars,Ketu,Sun
Aries,Ashvini,03:40:00,04:46:40,Mars,Ketu,Moon
Aries,Ashvini,04:46:40,05:33:20,Mars,Ketu,Mars
Aries,Ashvini,05:33:20,07:33:20,Mars,Ketu,Rahu
Aries,Ashvini,07:33:20,09:20:00,Mars,Ketu,Jupiter
Aries,Ashvini,09:20:00,11:26:40,Mars,Ketu,Saturn
Aries,Ashvini,11:26:40,13:20:00,Mars,Ketu,Mercury
Aries,Bharani,13:20:00,15:33:20,Mars,Venus,Venus
Aries,Bharani,15:33:20,16:13:20,Mars,Venus,Sun
Aries,Bharani,16:13:20,17:20:00,Mars,Venus,Moon
Aries,Bharani,17:20:00,18:06:40,Mars,Venus,Mars
Aries,Bharani,18:06:40,20:06:40,Mars,Venus,Rahu
Aries,Bharani,20:06:40,21:53:20,Mars,Venus,Jupiter
Aries,Bharani,21:53:20,24:00:00,Mars,Venus,Saturn
Aries,Bharani,24:00:00,25:53:20,Mars,Venus,Mercury
Aries,Bharani,25:53:20,26:40:00,Mars,Venus,Ketu
Aries,Krittika,26:40:00,27:20:00,Mars,Sun,Sun
Aries,Krittika,27:20:00,28:26:40,Mars,Sun,Moon
Aries,Krittika,28:26:40,29:13:20,Mars,Sun,Mars
Aries,Krittika,29:13:20,30:00:00,Mars,Sun,Rahu
Taurus,Krittika,00:00:00,01:13:20,Venus,Sun,Rahu
Taurus,Krittika,01:13:20,03:00:00:,Venus,Sun,Jupiter
Taurus,Krittika,03:00:00,05:06:40,Venus,Sun,Saturn
Taurus,Krittika,05:06:40,07:00:00,Venus,Sun,Mercury
Taurus,Krittika,07:00:00,07:46:40,Venus,Sun,Ketu
Taurus,Krittika,07:46:40,10:00:00,Venus,Sun,Venus
Taurus,Rohini,10:00:00,11:06:40,Venus,Moon,Moon
Taurus,Rohini,11:06:40,11:53:20,Venus,Moon,Mars
Taurus,Rohini,11:53:20,13:53:20,Venus,Moon,Rahu
Taurus,Rohini,13:53:20,15:40:00,Venus,Moon,Jupiter
Taurus,Rohini,15:40:00,17:46:40,Venus,Moon,Saturn
Taurus,Rohini,17:46:40,19:40:00,Venus,Moon,Mercury
Taurus,Rohini,19:40:00,20:26:40,Venus,Moon,Ketu
Taurus,Rohini,20:26:40,22:40:00,Venus,Moon,Venus
Taurus,Rohini,22:40:00,23:20:00,Venus,Moon,Sun
Taurus,Mrigashīrsha,23:20:00,24:06:40,Venus,Mars,Mars
Taurus,Mrigashīrsha,24:06:40,26:06:40,Venus,Mars,Rahu
Taurus,Mrigashīrsha,26:06:40,27:53:20,Venus,Mars,Jupiter
Taurus,Mrigashīrsha,27:53:20,30:00:00,Venus,Mars,Saturn
Gemini,Mrigashīrsha,00:00:00,01:53:20,Mercury,Mars,Mercury
Gemini,Mrigashīrsha,01:53:20,02:40:00,Mercury,Mars,Ketu
Gemini,Mrigashīrsha,02:40:00,04:53:20,Mercury,Mars,Venus
Gemini,Mrigashīrsha,04:53:20,05:33:20,Mercury,Mars,Sun
Gemini,Mrigashīrsha,05:33:20,06:40:00,Mercury,Mars,Moon
Gemini,Ardra,06:40:00,08:40:00,Mercury,Rahu,Rahu
Gemini,Ardra,08:40:00,10:26:40,Mercury,Rahu,Jupiter
Gemini,Ardra,10:26:40,12:33:20,Mercury,Rahu,Saturn
Gemini,Ardra,12:33:20,14:26:40,Mercury,Rahu,Mercury
Gemini,Ardra,14:26:40,15:13:20,Mercury,Rahu,Ketu
Gemini,Ardra,15:13:20,17:26:40,Mercury,Rahu,Venus
Gemini,Ardra,17:26:40,18:06:40,Mercury,Rahu,Sun
Gemini,Ardra,18:06:40,19:13:20,Mercury,Rahu,Moon
Gemini,Ardra,19:13:20,20:00:00,Mercury,Rahu,Mars
Gemini,Punarvasu,20:00:00,21:46:40,Mercury,Jupiter,Jupiter
Gemini,Punarvasu,21:46:40,23:53:20,Mercury,Jupiter,Saturn
Gemini,Punarvasu,23:53:20,25:46:40,Mercury,Jupiter,Mercury
Gemini,Punarvasu,25:46:40,26:33:20,Mercury,Jupiter,Ketu
Gemini,Punarvasu,26:33:20,28:46:40,Mercury,Jupiter,Venus
Gemini,Punarvasu,28:46:40,29:26:40,Mercury,Jupiter,Sun
Gemini,Punarvasu,29:26:40,30:00:00,Mercury,Jupiter,Moon
Cancer,Punarvasu,00:00:00,00:33:20,Moon,Jupiter,Moon
Cancer,Punarvasu,00:33:20,01:20:00,Moon,Jupiter,Mars
Cancer,Punarvasu,01:20:00,03:20:00,Moon,Jupiter,Rahu
Cancer,Pushya,03:20:00,05:26:40,Moon,Saturn,Saturn
Cancer,Pushya,05:26:40,07:20:00,Moon,Saturn,Mercury
Cancer,Pushya,07:20:00,08:06:40,Moon,Saturn,Ketu
Cancer,Pushya,08:06:40,10:20:00,Moon,Saturn,Venus
Cancer,Pushya,10:20:00,11:00:00:,Moon,Saturn,Sun
Cancer,Pushya,11:00:00:,12:06:40:,Moon,Saturn,Moon
Cancer,Pushya,12:06:40:,12:53:20,Moon,Saturn,Mars
Cancer,Pushya,12:53:20,14:53:20,Moon,Saturn,Rahu
Cancer,Pushya,14:53:20,16:40:00,Moon,Saturn,Jupiter
Cancer,Āshleshā,16:40:00,18:33:21,Moon,Mercury,Mercury
Cancer,Āshleshā,18:33:21,19:20:00,Moon,Mercury,Ketu
Cancer,Āshleshā,19:20:00,21:33:20,Moon,Mercury,Venus
Cancer,Āshleshā,21:33:20,22:13:20,Moon,Mercury,Sun
Cancer,Āshleshā,22:13:20,23:20:00,Moon,Mercury,Moon
Cancer,Āshleshā,23:20:00,24:06:40,Moon,Mercury,Mars
Cancer,Āshleshā,24:06:40,26:06:40,Moon,Mercury,Rahu
Cancer,Āshleshā,26:06:40,27:53:20,Moon,Mercury,Jupiter
Cancer,Āshleshā,27:53:20,30:00:00,Moon,Mercury,Saturn
Leo,Maghā,00:00:00,00:46:40,Sun,Ketu,Ketu
Leo,Maghā,00:46:40,03:00:00,Sun,Ketu,Venus
Leo,Maghā,03:00:00,03:40:00,Sun,Ketu,Sun
Leo,Maghā,03:40:00,04:46:40:,Sun,Ketu,Moon
Leo,Maghā,04:46:40:,05:33:20,Sun,Ketu,Mars
Leo,Maghā,05:33:20,07:33:20,Sun,Ketu,Rahu
Leo,Maghā,07:33:20,09:20:00,Sun,Ketu,Jupiter
Leo,Maghā,09:20:00,11:26:40,Sun,Ketu,Saturn
Leo,Maghā,11:26:40,13:20:00,Sun,Ketu,Mercury
Leo,PūrvaPhalgunī,13:20:00,15:33:20,Sun,Venus,Venus
Leo,PūrvaPhalgunī,15:33:20,16:13:20,Sun,Venus,Sun
Leo,PūrvaPhalgunī,16:13:20,17:20:00,Sun,Venus,Moon
Leo,PūrvaPhalgunī,17:20:00,18:06:40,Sun,Venus,Mars
Leo,PūrvaPhalgunī,18:06:40,20:06:40,Sun,Venus,Rahu
Leo,PūrvaPhalgunī,20:06:40,21:53:20,Sun,Venus,Jupiter
Leo,PūrvaPhalgunī,21:53:20,24:00:00,Sun,Venus,Saturn
Leo,PūrvaPhalgunī,24:00:00,25:53:20,Sun,Venus,Mercury
Leo,PūrvaPhalgunī,25:53:20,26:40:00,Sun,Venus,Ketu
Leo,UttaraPhalgunī,26:40:00,27:20:00,Sun,Sun,Sun
Leo,UttaraPhalgunī,27:20:00,28:26:40,Sun,Sun,Moon
Leo,UttaraPhalgunī,28:26:40,29:13:20,Sun,Sun,Mars
Leo,UttaraPhalgunī,29:13:20,30:00:00,Sun,Sun,Rahu
Virgo,UttaraPhalgunī,00:00:00,01:13:20,Mercury,Sun,Rahu
Virgo,UttaraPhalgunī,01:13:20,03:00:00,Mercury,Sun,Jupiter
Virgo,UttaraPhalgunī,03:00:00,05:06:40,Mercury,Sun,Saturn
Virgo,UttaraPhalgunī,05:06:40,07:00:00,Mercury,Sun,Mercury
